State Name,STATE,Population
Alabama,1,4858979
Alaska,2,738432
Arizona,4,6828065
Arkansas,5,2978204
California,6,39144818
Colorado,8,5456574
Connecticut,9,3590886
Delaware,10,945934
District of Columbia,11,672228
Florida,12,20271272
Georgia,13,10214860
Hawaii,15,1431603
Idaho,16,1654930
Illinois,17,12859995
Indiana,18,6619680
Iowa,19,3123899
Kansas,20,2911641
Kentucky,21,4425092
Louisiana,22,4670724
Maine,23,1329328
Maryland,24,6006401
Massachusetts,25,6794422
Michigan,26,9922576
Minnesota,27,5489594
Mississippi,28,2992333
Missouri,29,6083672
Montana,30,1032949
Nebraska,31,1896190
Nevada,32,2890845
New Hampshire,33,1330608
New Jersey,34,8958013
New Mexico,35,2085109
North Carolina,37,10042802
New York,36,19795791
North Dakota,38,756927
Ohio,39,11613423
Oklahoma,40,3911338
Oregon,41,4028977
Pennsylvania,42,12802503
Puerto Rico,43,3474182
Rhode Island,44,1056298
South Carolina,45,4896146
South Dakota,46,858469
Tennessee,47,6600299
Texas,48,27469114
Utah,49,2995919
Vermont,50,626042
Virgin Islands,52,103574
Virginia,51,8382993
Washington,53,7170351
West Virginia,54,1844128
Wisconsin,55,5771337
Wyoming,56,586107
